Component,CurrentVersion,LastUpdateDate,PreviousVersion,UpdateStatus
OS,14.2,2026-04-14 17:15:27,13.2,updated
BE,11.2.30,2026-04-14 17:15:27,11.2.30,updated
DB,12.1,2026-04-14 17:15:27,12.2,updated
FW,3.6.0,2026-04-14 17:15:27,3.7.0,updated
